SeniorCitizen,tenure,MonthlyCharges,TotalCharges,revenue_per_month,num_services,gender_Female,gender_Male,Partner_No,Partner_Yes,Dependents_No,Dependents_Yes,PhoneService_No,PhoneService_Yes,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_0-1yr,tenure_group_1-2yr,tenure_group_2-4yr,tenure_group_4-5yr,tenure_group_5+yr,tenure_group_nan
-0.030914595,-0.3814056,0.35227653,-0.35036495,-0.14349765,0.085949704,-0.23365907,-0.137284,-0.128127,0.09446009,-0.25966212,0.11492673,-0.016459046,-0.0019613577,0.05139246,0.09873435,-0.011187252,0.22111404,0.014444999,-0.043981325,-0.025569491,-0.18660566,0.03535821,0.020986961,-0.095826924,-0.30540493,-0.046071723,0.027540974,0.030828774,0.09286514,0.011992274,-1.2077076,-0.17128356,-0.64274377,-0.019022683,0.065952584,-0.061609156,-0.074161254,-0.2664949,0.020578107,-0.09098507,0.015935201,-0.025456455,0.000939803,0.042461198,0.0
-0.045209706,1.204081,0.2579039,-0.36909404,-0.3302986,-0.08148802,-0.06120579,-0.13321875,0.11692372,-0.09001279,0.06455444,-0.047855712,-0.02575933,-0.0060305498,-0.0076946104,0.07581346,-0.00136529,0.44160143,0.04248978,0.07772299,-0.0014625192,0.09429123,-0.032996234,0.05713894,-0.06688728,0.039017525,0.00379718,0.0063377614,0.014115579,-0.08669195,-0.024877083,0.6114867,-0.0018676826,0.09090758,-0.0032252118,0.047135554,-0.065135516,-0.034029767,0.11770727,-0.01204858,0.12647945,0.011795732,-0.038950793,-0.00057463686,0.0063108173,0.0
-0.06452599,-1.0094514,-0.34063584,-0.6376928,-0.67305046,-0.30810243,-0.16802983,0.05960477,-0.1079145,0.05489135,-0.26088047,0.06343381,-0.026650062,0.029263075,-0.012307175,-0.20026374,0.05551068,-0.413943,0.012252159,-0.4506087,0.0845934,-0.14759618,-0.0060313633,-0.09669756,0.07881937,-0.2250104,-0.08406821,-0.1836881,-0.021554248,0.027716298,0.014328739,-1.0954072,-0.295457,-0.6877543,-0.1391509,0.027124552,-0.047702145,-0.047011103,-0.25880504,-0.42997488,-0.06780095,0.013384968,-0.0641956,-0.02412401,-0.11340304,0.0
0.052786984,-0.4952886,-0.06442991,-0.19747965,-0.40295562,-0.035275824,-0.08735201,-0.15450816,-0.11702745,0.11848403,0.036080472,-0.07630387,-0.016470363,-0.0047443025,0.03532665,0.0899545,0.0096599255,0.17677571,0.0117668575,-0.46936893,0.11441321,-0.2135669,0.0248437,-0.16549003,0.08558939,-0.22576965,0.0036435877,-0.3090423,-0.054369625,-0.088680424,-0.003626552,-0.89263797,-0.17693436,0.05722257,-0.04043053,-0.21748348,-0.0340001,-0.033439096,0.21760865,0.048943795,-0.057945434,0.03179403,-0.03359433,-0.20706691,0.0006481323,0.0
0.14882854,-0.23748456,0.20327254,-0.26423818,-0.11578623,-0.0282748,-0.1573486,0.13956305,0.06536658,-0.119681686,0.029831525,-0.08102582,-0.053762536,-0.013560003,0.014646046,0.09559854,0.04394236,-0.44617102,0.017122298,0.033379674,-0.011025049,-0.28226152,0.010087878,0.06699854,-0.04812024,0.002794197,-0.0047846376,-0.046280794,-0.015508025,-0.079916984,-0.011188887,0.40812796,-0.022161843,0.07879528,-0.07513855,-0.35827634,-0.0018385133,0.069690794,-0.30105042,0.023987608,-0.15546003,-0.11045649,0.03578786,-0.013033381,0.009731808,0.0
-0.014326016,0.39902022,0.15967858,-0.29857937,-0.17678246,-0.020810174,-0.16808487,0.11510509,0.10916409,-0.11306568,0.066261515,-0.049217485,-0.029526522,-0.0060789264,0.0053257225,-0.1550572,-0.0061041024,0.32647005,0.041985665,0.08953719,-0.003309734,0.10731501,-0.03502313,0.05909499,-0.057949267,0.035224605,-0.0011866428,0.09609107,0.028404027,-0.086772054,0.0019212633,0.55787754,-0.012535836,0.09160208,-0.0059785205,0.060068287,-0.054857537,-0.01117093,0.21157594,0.025319442,0.13364998,0.018111754,-0.012082831,-0.009683895,0.0019116804,0.0
0.04412343,0.2809126,0.33446652,0.057458986,-0.07624359,0.047766756,-0.14454877,0.08129005,-0.17227766,0.07919852,0.059498154,-0.06760655,-0.026457852,-0.005742245,-0.064356394,-0.14790067,-0.0010697014,0.38048854,0.041014884,0.0829603,-0.023717334,0.06680213,-0.06875272,-0.12902804,0.097198784,0.051429812,-0.0002556663,0.13050106,0.04154216,0.03170403,0.0020510915,0.46873254,-0.0110004265,0.0902535,0.010942305,0.07768959,-0.05896459,0.0043799654,0.16869777,-0.05810247,0.0895825,-0.0007651593,-0.003740834,-0.014505427,0.0061400495,0.0
-0.062119212,-0.48244217,0.17438117,-0.35327187,-0.55899036,0.008975887,-0.04488468,-0.12584934,0.026142,-0.106247954,0.033126406,-0.069199674,-0.02107467,-0.0053500277,0.04240621,0.12707035,-0.0012398588,0.3277861,0.02347967,0.10436883,-0.0012426106,0.08255966,-0.04810772,0.08079462,-0.058182515,0.06816945,0.01384381,-0.12009021,-0.011872444,0.021715444,-0.00053459685,0.5405945,-0.0066957506,0.07319467,-0.006712726,0.06468691,-0.030449944,-0.041789692,0.2818742,0.02179955,-0.056964263,0.057577394,-0.032924313,-0.18126437,0.0041089784,0.0
-0.05021308,-1.4987807,-1.1425228,-0.3441248,-0.5355466,-0.12450444,-0.19554174,0.08451967,-0.12824485,0.13144697,-0.23178314,-0.009552113,-0.06649835,-0.01338563,0.053297833,-0.15602627,-0.008760201,-0.28122455,-0.2068956,0.072469994,0.011141453,-0.0074945474,-0.04662974,0.014063,-0.04819479,-0.01168235,0.009526591,-0.14627494,-0.04501016,-0.20344439,-0.012231454,-1.4451087,-0.1218634,-0.7022772,0.056465883,-0.1955186,0.08729408,0.021014571,-0.30617133,0.0028808923,-0.11274351,-0.021485677,0.020911552,-0.12118037,-0.04770689,0.0
-0.026569763,0.061673004,-0.26449752,0.11186136,-0.15898952,-0.040853795,-0.19131136,0.10801811,0.06417281,-0.123509966,-0.42047408,0.023223417,-0.041617025,-0.018038364,0.017615378,-0.16769908,0.054313168,-0.41594425,0.025632603,-0.45863482,0.096112944,0.0777195,-0.023375893,0.06251876,-0.06321763,0.021365212,-0.0067111915,-0.09760892,-0.014156451,-0.09758494,-0.00363357,0.36554274,-0.03748146,0.078466244,-0.01517785,0.055191334,-0.03641513,-0.02462335,-0.595183,-0.19252756,-0.21522188,-0.04281326,0.021077175,-0.0014545363,-0.0009458015,0.0
-0.021675304,-0.13018946,-0.42897743,-0.07573934,-0.51339126,-0.076258644,-0.26623788,0.05761505,0.030675216,-0.15343575,-0.27317858,0.08746906,-0.042046245,-0.0031635866,0.013405317,-0.10540541,-0.07609901,-0.26989165,-0.28485188,0.076425575,-0.009017486,-0.02471952,-0.044717513,0.020967985,-0.05158915,0.02081299,0.0019070783,-0.18586835,-0.018610893,-0.20246904,-0.025347795,-1.41561,-0.09548948,0.0983932,-0.013288065,-0.20797773,-0.11786224,0.015314548,-0.19765565,-0.16575763,0.19988175,0.022391554,-0.005393313,-0.044175338,-0.002551319,0.0
-0.010589361,-0.47351727,0.23019472,-0.12785186,-0.06749889,-0.07266019,0.029720245,-0.09294516,-0.14377393,0.06636049,-0.29724813,0.06403419,-0.022748346,-0.0061440845,0.019109517,0.0866008,0.017814633,0.41108888,0.021983769,0.047853567,-0.017410044,-0.35014817,-0.0014519794,0.013495448,-0.11416262,0.04076308,-0.014846444,0.03979772,0.022922698,0.033134412,0.0014652617,0.43763703,-0.038036156,0.074402764,0.01331456,0.07669223,-0.024342071,-0.008563887,0.10375154,-0.019490402,-0.08727174,0.009735399,-0.012353444,-0.0006975912,-0.0039411117,0.0
-0.034143027,-0.87203646,-0.56090677,-0.22863828,-0.4684393,-0.018838532,-0.2559668,0.136929,0.024896607,-0.18075924,-0.20859814,0.022000477,-0.018238816,-0.005995217,-0.04708818,0.09311432,0.065859094,-0.336145,0.01574724,-0.35997218,0.1101317,-0.14584714,0.017509831,0.04062994,-0.06455007,-0.13598396,-0.025924228,-0.1644157,-0.024387814,-0.21724948,-0.017934486,-0.9136749,0.01849068,0.064764045,0.04752475,-0.23334591,-0.2591986,-0.099914365,-0.20512427,0.050588954,-0.07351354,0.03702192,0.006255743,-0.026270555,-0.017736858,0.0
-0.020162106,0.36812472,-0.45556733,-0.0450143,0.25117046,-0.031592194,0.08967555,-0.07864378,0.07260953,-0.090070985,0.070646636,-0.06455865,-0.04703988,-0.0065305927,-0.0063172067,-0.1383976,0.12890863,-0.33820575,0.050765477,0.039524972,-0.012970998,0.07986715,-0.049617484,0.0549759,-0.062213212,0.023192285,-0.011497222,-0.021364504,-0.021132177,-0.072155476,-0.0033104522,0.5447105,-0.023024615,0.09969809,-0.008946137,0.07061197,-0.031900216,-0.05849757,-0.45736036,-0.030765276,0.1432256,0.015426585,-0.018341115,0.008199342,0.0016428564,0.0
